sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux
90,2026-05-26,14,杭州,多云,0.4595,0.5603,24.34,0.0119,64.098,42597.03
91,2026-06-01,11,杭州,多云,0.4365,0.4931,23.94,0.0318,69.721,50327.47
92,2026-05-14,14,杭州,晴,0.1487,0.3651,27.38,0.0149,63.026,80068.7
93,2026-05-12,14,杭州,雨,0.997,0.8764,24.28,0.6549,62.812,8733.98
94,2026-05-21,16,杭州,晴,0.0274,0.4217,27.27,0.0174,43.814,76758.9
95,2026-05-17,11,杭州,晴,0.0762,0.5498,27.83,0.0049,68.668,87886.48
96,2026-05-14,11,杭州,雨,0.7943,0.9437,25.55,0.5261,68.395,10806.51
97,2026-04-08,11,杭州,多云,0.4283,0.6411,23.8,0.0414,63.873,45055.24
98,2026-04-12,18,杭州,多云,0.4943,0.4577,23.74,0.0223,6.615,14138.23
99,2026-07-01,13,杭州,阴,0.6804,0.7847,19.95,0.039,70.111,22863.55
100,2026-05-10,17,杭州,晴,0.0794,0.523,26.13,0.0032,28.577,59223.22
101,2026-05-31,11,杭州,阴,0.8127,0.7906,28.61,0.0725,69.668,19425.19
102,2026-05-20,16,杭州,晴,0.1208,0.4669,28.68,0.0121,43.698,71250.86
103,2026-06-20,13,杭州,阴,0.7626,0.6294,28.42,0.0519,70.244,20185.86
104,2026-05-30,8,杭州,晴,0.0008,0.3904,21.78,0.0118,44.703,79246.88
105,2026-04-28,11,杭州,晴,0.0043,0.2977,28.92,0.0186,66.636,91820.61
106,2026-05-06,9,杭州,阴,0.8379,0.8427,20.72,0.1084,53.337,16470.29
107,2026-04-07,13,杭州,阴,0.7339,0.5837,35.22,0.1138,63.724,19903.83
108,2026-05-19,14,杭州,多云,0.5875,0.7563,26.65,0.0477,63.517,42052.63
109,2026-05-28,10,杭州,晴,0.1216,0.528,24.96,0.0071,64.241,81540.57
110,2026-04-04,13,杭州,阴,0.6936,0.8595,28.7,0.0955,63.27,21357.3
111,2026-05-29,12,杭州,晴,0.1377,0.5775,26.14,0.0073,71.332,85249.83
112,2026-05-27,8,杭州,多云,0.5789,0.5499,18.29,0.0266,44.44,35091.48
113,2026-04-27,17,杭州,雨,0.9006,0.8536,23.0,0.2374,26.039,6293.44
114,2026-04-18,10,杭州,晴,0.0446,0.59,23.6,0.016,59.584,81377.42
115,2026-06-28,15,杭州,多云,0.4209,0.7483,29.28,0.0671,56.625,45321.3
116,2026-04-27,15,杭州,阴,0.6715,0.7628,29.38,0.0257,51.959,18790.66
117,2026-06-07,13,杭州,多云,0.5271,0.6827,28.69,0.0664,69.987,42377.2
118,2026-04-10,6,杭州,晴,0.0095,0.5591,16.38,0.0116,6.049,29083.67
119,2026-05-20,6,杭州,晴,0.1755,0.4381,16.37,0.0176,14.996,44227.12
120,2026-04-22,11,杭州,多云,0.2955,0.592,26.75,0.0513,65.862,51976.04
121,2026-05-17,11,杭州,晴,0.1252,0.3332,21.53,0.0012,68.668,87953.62
122,2026-04-06,17,杭州,晴,0.0061,0.293,26.98,0.0027,20.883,57860.42
123,2026-05-21,16,杭州,阴,0.7574,0.87,26.76,0.1764,43.814,18401.73
124,2026-04-19,10,杭州,晴,0.093,0.313,25.91,0.009,59.74,87760.37
125,2026-04-29,13,杭州,晴,0.0324,0.5103,30.48,0.0079,66.76,89549.1
126,2026-04-29,10,杭州,雨,0.9824,0.8762,27.26,0.272,61.203,8182.08
127,2026-06-17,7,杭州,多云,0.5685,0.5653,17.04,0.0568,32.234,28904.67
128,2026-05-23,10,杭州,多云,0.4568,0.4926,27.53,0.0695,63.865,43568.61
129,2026-05-07,15,杭州,多云,0.6019,0.6263,30.04,0.0126,53.477,34549.76
130,2026-06-24,8,杭州,阴,0.8288,0.66,22.48,0.1001,45.576,17824.7
131,2026-06-11,8,杭州,阴,0.6874,0.7208,18.55,0.1317,45.422,20362.99
132,2026-04-11,7,杭州,雨,0.8764,0.8857,17.99,0.5739,22.208,5825.03
133,2026-04-17,18,杭州,晴,0.0906,0.5696,24.79,0.0049,7.989,30545.35
134,2026-06-15,17,杭州,晴,0.1574,0.5541,28.78,0.0095,32.195,66245.85
135,2026-06-21,10,杭州,多云,0.4931,0.7269,21.61,0.0592,65.066,42545.76
136,2026-04-25,13,杭州,雨,0.9291,0.7961,25.21,0.6179,66.256,10044.22
137,2026-05-29,9,杭州,晴,0.0233,0.4506,22.31,0.0038,55.856,83980.28
138,2026-06-16,17,杭州,晴,0.0714,0.4597,24.93,0.0071,32.217,65359.7
139,2026-05-11,15,杭州,多云,0.5066,0.6942,27.41,0.06,54.013,40591.16
140,2026-04-23,17,杭州,晴,0.0387,0.476,26.55,0.0079,25.148,58093.94
141,2026-05-23,12,杭州,晴,0.2148,0.2819,24.95,0.0144,70.946,87844.66
142,2026-06-19,6,杭州,晴,0.0136,0.4081,13.37,0.0162,17.345,49816.84
143,2026-05-22,13,杭州,多云,0.4607,0.7162,27.5,0.0717,69.078,42889.96
144,2026-07-01,13,杭州,多云,0.474,0.7134,26.07,0.0745,70.111,41804.71
145,2026-05-23,12,杭州,阴,0.8147,0.7604,24.88,0.1467,70.946,20009.4
146,2026-05-03,6,杭州,阴,0.8567,0.744,14.27,0.004,11.885,7608.36
147,2026-06-11,7,杭州,晴,0.0851,0.3752,24.2,0.0081,32.064,64467.61
148,2026-04-25,7,杭州,晴,0.1443,0.4429,18.44,0.0154,25.599,58333.54
149,2026-06-23,13,杭州,晴,0.1683,0.5307,26.03,0.0019,70.239,86133.28
150,2026-05-03,14,杭州,多云,0.4746,0.4627,31.12,0.0725,61.737,44249.58
151,2026-06-04,13,杭州,晴,0.1536,0.5236,33.96,0.0102,69.866,84110.27
152,2026-06-21,17,杭州,晴,0.0265,0.4296,25.48,0.0059,32.26,66573.82
153,2026-05-10,15,杭州,阴,0.817,0.7046,30.35,0.0726,53.883,17010.22
154,2026-06-11,11,杭州,雨,0.9239,0.9444,19.72,0.2945,70.114,9264.13
155,2026-04-01,11,杭州,阴,0.7565,0.6507,26.71,0.0493,62.81,20635.78
156,2026-05-12,13,杭州,晴,0.2073,0.3666,27.47,0.0056,68.203,83578.17
157,2026-04-28,18,杭州,晴,0.0292,0.4802,24.01,0.014,10.758,38933.43
158,2026-04-27,9,杭州,阴,0.8353,0.7639,22.14,0.007,51.959,15823.8
159,2026-04-02,12,杭州,晴,0.2166,0.3279,21.76,0.0082,65.023,81254.21
160,2026-04-30,18,杭州,晴,0.0571,0.515,23.4,0.0142,11.22,40240.14
161,2026-04-29,18,杭州,多云,0.5101,0.5693,26.49,0.0002,10.991,18294.02
162,2026-05-23,17,杭州,多云,0.3592,0.6296,28.31,0.0605,30.499,34782.47
163,2026-04-18,13,杭州,多云,0.3806,0.5359,33.4,0.0757,65.317,48102.41
164,2026-05-29,8,杭州,晴,0.0759,0.4131,17.95,0.0111,44.619,83554.03
165,2026-06-17,14,杭州,雨,0.8743,0.9536,30.87,0.6341,65.044,10678.24
166,2026-05-26,9,杭州,阴,0.7918,0.69,22.89,0.015,55.617,17862.93
167,2026-05-29,10,杭州,雨,0.9768,0.7959,21.92,0.2202,64.308,9051.29
168,2026-06-16,7,杭州,阴,0.6902,0.6315,21.89,0.1622,32.217,15532.96
169,2026-04-28,8,杭州,多云,0.5793,0.6747,20.0,0.0549,40.301,32624.42
170,2026-04-28,17,杭州,多云,0.4675,0.7533,26.34,0.0524,26.254,27163.16
171,2026-04-27,13,杭州,晴,0.2082,0.5725,26.46,0.0058,66.511,80739.4
172,2026-05-03,14,杭州,阴,0.725,0.8424,22.54,0.0548,61.737,21792.13
173,2026-05-30,11,杭州,晴,0.1639,0.3685,26.11,0.0032,69.612,89570.28
174,2026-04-20,10,杭州,晴,0.0411,0.4469,25.26,0.0113,59.894,87881.57
175,2026-06-04,10,杭州,多云,0.4228,0.4924,22.12,0.0031,64.652,43600.44
176,2026-06-13,16,杭州,阴,0.6843,0.6514,27.54,0.0486,45.488,19030.2
177,2026-06-27,9,杭州,晴,0.0467,0.5459,23.07,0.011,56.648,88985.09
178,2026-04-26,11,杭州,晴,0.0298,0.4831,24.98,0.0109,66.384,91636.72
179,2026-04-17,16,杭州,晴,0.2085,0.3612,29.93,0.0081,38.079,62695.43
180,2026-05-14,10,杭州,雨,0.8844,0.8093,24.92,0.6376,63.026,9943.75
181,2026-04-14,9,杭州,多云,0.2901,0.4529,25.1,0.0564,49.654,49935.72
182,2026-05-14,7,杭州,多云,0.5927,0.7096,20.69,0.0669,29.238,27453.09
183,2026-05-05,10,杭州,多云,0.4433,0.6865,25.46,0.0584,61.991,46546.71
184,2026-04-21,7,杭州,晴,0.077,0.4575,21.91,0.0194,24.684,55895.22
185,2026-06-07,12,杭州,晴,0.2117,0.432,25.81,0.007,71.75,89054.43
186,2026-04-16,16,杭州,晴,0.0754,0.5197,30.01,0.0156,37.862,67648.64
187,2026-04-13,14,杭州,晴,0.1734,0.4053,24.98,0.0049,58.784,82132.58
188,2026-06-29,15,杭州,晴,0.1709,0.4524,23.1,0.0069,56.599,81879.17
189,2026-06-20,17,杭州,阴,0.817,0.7794,24.99,0.1192,32.26,14392.63
190,2026-04-24,9,杭州,晴,0.2073,0.3652,23.86,0.016,51.458,75578.6
191,2026-05-27,7,杭州,雨,0.8267,0.8858,17.82,0.6137,30.955,7489.01
192,2026-04-27,14,杭州,多云,0.4585,0.4988,23.16,0.0735,60.925,44526.09
193,2026-04-20,12,杭州,晴,0.0761,0.5272,27.2,0.0108,67.529,92831.38
194,2026-04-03,12,杭州,晴,0.1007,0.5689,25.89,0.016,65.168,82620.19
195,2026-04-29,8,杭州,晴,0.0254,0.6125,18.47,0.0056,40.487,74864.16
196,2026-05-09,16,杭州,晴,0.2105,0.5832,27.51,0.0064,42.19,63080.58
197,2026-06-26,6,杭州,晴,0.0107,0.4866,19.34,0.0138,17.272,47748.41
198,2026-04-02,6,杭州,晴,0.1536,0.4025,19.01,0.0032,3.699,21617.99
199,2026-06-21,12,杭州,多云,0.5209,0.6307,28.75,0.063,72.0,40511.09
200,2026-05-01,16,杭州,多云,0.5113,0.6073,26.53,0.0596,40.851,37532.26
201,2026-04-20,15,杭州,晴,0.0081,0.3833,28.33,0.0031,50.76,81800.41
202,2026-04-30,14,杭州,晴,0.1847,0.3388,27.71,0.0003,61.34,94124.17
203,2026-06-10,16,杭州,雨,0.9575,0.8764,25.71,0.385,45.383,8131.44
204,2026-06-12,17,杭州,晴,0.0748,0.3995,23.31,0.0068,32.103,68768.37
205,2026-06-11,14,杭州,阴,0.7553,0.7266,30.71,0.1263,64.924,19955.9
206,2026-04-11,18,杭州,雨,0.8495,0.886,23.39,0.3993,6.333,3331.7
207,2026-04-19,13,杭州,多云,0.4667,0.7368,28.11,0.0484,65.455,48172.04
208,2026-05-12,9,杭州,多云,0.4705,0.695,20.85,0.0377,54.14,45130.63
209,2026-06-26,7,杭州,多云,0.4788,0.5193,16.69,0.0161,32.192,31676.84
210,2026-06-03,17,杭州,阴,0.6994,0.6916,26.56,0.1404,31.592,16148.19
211,2026-04-17,10,杭州,晴,0.0376,0.4896,23.86,0.0155,59.427,82747.84
212,2026-06-02,18,杭州,晴,0.2042,0.2907,22.36,0.0154,16.534,43690.92
213,2026-04-24,17,杭州,阴,0.8401,0.8423,28.23,0.1425,25.375,12669.23
214,2026-04-30,9,杭州,晴,0.1595,0.4311,22.43,0.0163,52.44,82245.32
215,2026-04-11,17,杭州,阴,0.7519,0.6227,27.97,0.1205,22.208,12812.16
216,2026-06-11,11,杭州,晴,0.0688,0.3702,27.47,0.0136,70.114,93274.38
217,2026-05-07,17,杭州,晴,0.0549,0.4821,26.35,0.0012,28.043,65003.44
218,2026-06-10,16,杭州,多云,0.4339,0.5888,24.1,0.0485,45.383,40377.03
219,2026-06-27,7,杭州,晴,0.0687,0.417,12.13,0.0095,32.166,69733.0
220,2026-04-04,10,杭州,雨,0.86,0.9016,28.6,0.8,57.266,9553.99
221,2026-04-17,16,杭州,晴,0.1934,0.6093,23.18,0.0148,38.079,67131.81
222,2026-06-04,9,杭州,晴,0.0803,0.5765,19.75,0.0084,56.248,79504.71
223,2026-06-24,11,杭州,阴,0.6736,0.7801,21.95,0.1103,70.233,22627.84
224,2026-05-18,14,杭州,晴,0.0322,0.3583,30.73,0.015,63.424,89783.3
225,2026-04-23,7,杭州,阴,0.68,0.7805,14.39,0.0321,25.148,14956.66
226,2026-06-24,12,杭州,多云,0.5454,0.5292,28.09,0.016,71.988,43845.0
227,2026-06-30,15,杭州,多云,0.4501,0.7759,30.12,0.0767,56.569,42351.16
228,2026-04-14,6,杭州,多云,0.6088,0.4677,15.07,0.0335,7.172,13255.11
229,2026-06-23,16,杭州,多云,0.3305,0.7727,26.01,0.0629,45.588,42139.63
230,2026-05-09,16,杭州,晴,0.1518,0.4647,28.01,0.0167,42.19,62020.42
231,2026-04-26,12,杭州,晴,0.1141,0.4568,22.37,0.0094,68.287,88708.57
232,2026-05-06,7,杭州,阴,0.7941,0.6135,19.29,0.1266,27.858,14429.71
233,2026-06-10,7,杭州,阴,0.6819,0.6587,15.48,0.1788,32.02,17304.97
234,2026-05-02,10,杭州,阴,0.7555,0.7382,21.64,0.1013,61.606,20791.07
235,2026-05-08,16,杭州,阴,0.7475,0.8144,26.82,0.0371,42.034,17922.85
236,2026-05-28,15,杭州,阴,0.6786,0.7665,25.75,0.1021,55.779,21132.6
237,2026-06-02,8,杭州,晴,0.168,0.4192,23.33,0.0141,44.934,75370.7
238,2026-04-20,8,杭州,晴,0.0278,0.3655,21.1,0.0074,38.714,70294.15
239,2026-05-02,11,杭州,晴,0.0613,0.523,23.98,0.0124,67.12,88551.2
240,2026-05-11,18,杭州,阴,0.815,0.8069,24.37,0.0231,13.495,8436.91
241,2026-06-21,6,杭州,雨,0.8185,0.7813,15.21,0.3533,17.348,5946.65
242,2026-05-25,7,杭州,晴,0.0965,0.5938,15.09,0.0112,30.735,64472.85
243,2026-06-08,7,杭州,多云,0.4217,0.6482,17.23,0.0487,31.92,32152.0
244,2026-05-21,6,杭州,阴,0.855,0.7373,21.04,0.127,15.142,9306.25
245,2026-05-29,15,杭州,阴,0.8379,0.7685,28.4,0.1634,55.856,17391.57
246,2026-05-30,11,杭州,晴,0.0277,0.5385,26.5,0.0005,69.612,94386.64
247,2026-05-12,7,杭州,晴,0.0999,0.5787,18.52,0.009,28.915,61022.35
248,2026-04-17,12,杭州,多云,0.3531,0.5914,32.29,0.0751,67.133,47697.73
249,2026-05-01,14,杭州,晴,0.2057,0.527,29.81,0.0106,61.474,80500.97
250,2026-05-11,16,杭州,多云,0.5203,0.6243,27.52,0.0701,42.494,34551.79
251,2026-05-09,7,杭州,晴,0.1949,0.4762,16.8,0.0009,28.403,57422.77
252,2026-05-04,12,杭州,晴,0.1383,0.4519,27.77,0.0187,69.215,85943.12
253,2026-06-18,11,杭州,阴,0.878,0.8558,23.6,0.0283,70.233,17284.23
254,2026-04-05,8,杭州,多云,0.3254,0.7011,21.62,0.0083,35.347,38595.67
255,2026-06-22,16,杭州,多云,0.4623,0.6872,24.35,0.0558,45.595,38445.94
256,2026-04-15,10,杭州,雨,0.8088,0.8578,22.02,0.2963,59.108,10831.7
257,2026-04-25,18,杭州,多云,0.315,0.4984,28.29,0.0509,10.041,21047.93
258,2026-06-04,15,杭州,雨,0.8121,0.7791,27.99,0.8061,56.248,10785.8
259,2026-04-02,15,杭州,阴,0.8886,0.6243,28.42,0.1601,47.268,14426.72
260,2026-05-07,7,杭州,晴,0.1176,0.5915,17.35,0.006,28.043,61137.94
261,2026-06-28,11,杭州,多云,0.479,0.5904,26.27,0.0606,70.179,43143.69
262,2026-04-03,10,杭州,晴,0.0536,0.2887,23.48,0.0113,57.093,87435.2
263,2026-06-23,11,杭州,多云,0.4036,0.6959,29.01,0.0686,70.239,45662.88
264,2026-05-03,16,杭州,晴,0.1449,0.5891,26.19,0.0163,41.204,73412.97
265,2026-05-19,12,杭州,晴,0.0908,0.4229,26.46,0.0078,70.643,89395.28
266,2026-05-22,6,杭州,晴,0.0544,0.5194,12.29,0.0003,15.283,46406.16
267,2026-04-09,17,杭州,多云,0.35,0.7613,25.14,0.014,21.684,28867.73
268,2026-04-13,16,杭州,多云,0.3524,0.4779,30.66,0.0335,37.2,39244.81
269,2026-04-30,13,杭州,晴,0.0435,0.5533,29.07,0.0047,66.882,88678.87
270,2026-04-07,16,杭州,多云,0.4439,0.468,29.38,0.04,35.821,35730.0
271,2026-04-14,7,杭州,阴,0.7179,0.8256,20.86,0.0663,22.977,13015.58
272,2026-06-19,7,杭州,多云,0.6176,0.7314,17.06,0.0572,32.256,26552.97
273,2026-05-26,6,杭州,雨,0.867,0.7917,18.07,0.798,15.802,4824.31
274,2026-05-25,18,杭州,多云,0.4867,0.49,25.58,0.0488,15.679,22019.55
275,2026-04-02,16,杭州,晴,0.1022,0.6009,30.68,0.0032,34.624,69244.69
276,2026-06-18,18,杭州,多云,0.3455,0.5887,24.67,0.0365,17.336,26873.49
277,2026-05-08,6,杭州,晴,0.0678,0.4871,18.36,0.0193,12.921,39660.57
278,2026-04-02,13,杭州,雨,0.8497,0.8419,26.43,0.7602,62.964,10848.42
279,2026-06-21,11,杭州,多云,0.4351,0.5705,26.27,0.054,70.245,42687.93
280,2026-04-21,11,杭州,阴,0.6892,0.859,25.69,0.037,65.728,20438.11
281,2026-05-30,18,杭州,雨,0.9194,0.9346,25.85,0.4912,16.248,4546.22
282,2026-04-23,7,杭州,晴,0.0337,0.35,18.14,0.0151,25.148,57152.53
283,2026-04-22,11,杭州,多云,0.3549,0.5831,30.36,0.005,65.862,49500.62
284,2026-04-14,12,杭州,多云,0.5682,0.6816,29.37,0.0082,66.726,38486.15
285,2026-06-25,9,杭州,晴,0.0706,0.5784,25.42,0.0132,56.684,84896.45
286,2026-05-08,15,杭州,多云,0.563,0.7287,29.01,0.0505,53.615,37848.52
287,2026-04-27,14,杭州,多云,0.4912,0.6249,29.0,0.0463,60.925,38640.3
288,2026-05-17,16,杭州,阴,0.8794,0.8599,26.7,0.163,43.327,15130.03
289,2026-07-01,7,杭州,多云,0.5716,0.6946,16.47,0.0331,32.015,30042.86
290,2026-06-25,14,杭州,晴,0.044,0.3823,29.43,0.0187,65.04,93247.34
291,2026-07-01,13,杭州,多云,0.4881,0.464,25.11,0.0071,70.111,48150.79
292,2026-04-02,16,杭州,阴,0.7819,0.7797,27.56,0.026,34.624,16038.02
293,2026-05-29,10,杭州,晴,0.1798,0.2953,20.35,0.0072,64.308,86943.24
294,2026-05-04,12,杭州,阴,0.7781,0.5846,26.61,0.0869,69.215,21540.75
295,2026-04-29,17,杭州,晴,0.145,0.2955,22.13,0.0106,26.466,58156.36
296,2026-06-21,12,杭州,多云,0.3566,0.5175,27.26,0.0643,72.0,48175.27
297,2026-04-18,7,杭州,多云,0.5379,0.761,13.88,0.0417,23.968,26937.38
298,2026-07-01,7,杭州,晴,0.028,0.4295,16.02,0.0001,32.015,66920.32
299,2026-05-04,11,杭州,晴,0.049,0.5439,23.8,0.005,67.352,85449.98
300,2026-06-21,6,杭州,雨,0.8981,0.8951,14.68,0.7024,17.348,5217.51
301,2026-06-23,11,杭州,阴,0.7451,0.8393,20.34,0.0057,70.239,21729.02
302,2026-06-14,8,杭州,多云,0.4996,0.7233,20.52,0.065,45.515,35544.23
303,2026-05-20,6,杭州,多云,0.3022,0.7549,14.89,0.0353,14.996,25007.64
304,2026-04-06,14,杭州,晴,0.1469,0.4162,27.84,0.0134,57.611,77848.89
