sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux,wavelength_380,wavelength_390,wavelength_400,wavelength_410,wavelength_420,wavelength_430,wavelength_440,wavelength_450,wavelength_460,wavelength_470,wavelength_480,wavelength_490,wavelength_500,wavelength_510,wavelength_520,wavelength_530,wavelength_540,wavelength_550,wavelength_560,wavelength_570,wavelength_580,wavelength_590,wavelength_600,wavelength_610,wavelength_620,wavelength_630,wavelength_640,wavelength_650,wavelength_660,wavelength_670,wavelength_680,wavelength_690,wavelength_700,wavelength_710,wavelength_720,wavelength_730,wavelength_740,wavelength_750,wavelength_760,wavelength_770,wavelength_780,scene,target_lux,recommended_channel_1,recommended_channel_2,recommended_channel_3,recommended_channel_4,recommended_channel_5,recommended_channel_6,recommended_channel_7
19,2026-04-22,9,杭州,晴,0.1683,0.5781,24.44,0.018,51.113,71993.63,0.6559,0.690537,0.734429,0.76666,0.75845,0.750669,0.786466,0.82937,0.86065,0.883927,0.907018,0.920566,0.950549,0.947904,0.959644,0.985299,0.974357,1.0,0.997431,0.988715,0.996904,0.968017,0.99585,0.975832,0.96442,0.969909,0.942235,0.922078,0.902542,0.866838,0.817538,0.804802,0.789134,0.782705,0.765596,0.763681,0.717423,0.718999,0.692137,0.681122,0.653034,阅读,400,0.3074,0.2177,0.1862,0.004,0.2308,0.0965,0.004
20,2026-04-26,12,杭州,多云,0.4624,0.5934,26.94,0.0105,68.287,46046.35,0.665527,0.737048,0.784001,0.845046,0.841034,0.872229,0.912161,0.941572,0.957244,0.980866,0.98598,1.0,0.991205,0.982805,0.98795,0.943401,0.975053,0.915826,0.924153,0.931954,0.913186,0.878139,0.873953,0.892512,0.862582,0.88333,0.839832,0.8232,0.811314,0.763995,0.721944,0.710464,0.697969,0.675225,0.683769,0.672327,0.685055,0.66608,0.62427,0.58806,0.553349,休息,180,0.004,0.004,0.1092,0.004,0.2866,0.0597,0.004
21,2026-05-30,10,杭州,阴,0.7653,0.778,25.11,0.1079,64.372,20088.82,0.557019,0.670421,0.766332,0.848888,0.874331,0.868396,0.917117,0.933705,0.950546,0.981157,0.995395,1.0,0.989406,0.962698,0.958696,0.951572,0.927717,0.91023,0.899662,0.866347,0.83638,0.822828,0.823475,0.804185,0.797757,0.788856,0.757948,0.752564,0.723524,0.676232,0.688294,0.642957,0.614807,0.615963,0.612238,0.623554,0.615801,0.610994,0.571639,0.514634,0.460101,学习,500,0.7932,0.6172,0.4823,0.0164,0.5714,0.3755,0.004
22,2026-06-28,13,杭州,多云,0.604,0.6513,27.72,0.0204,70.179,41390.32,0.658224,0.714359,0.771605,0.845901,0.850203,0.875886,0.916081,0.925961,0.966866,0.980789,0.969587,1.0,0.998411,0.989836,0.975326,0.968351,0.964232,0.966906,0.932645,0.932406,0.891683,0.889585,0.883714,0.907045,0.84943,0.874014,0.83992,0.82139,0.790955,0.765465,0.72912,0.727477,0.688919,0.702099,0.674137,0.676147,0.656236,0.668165,0.640673,0.580342,0.537748,学习,500,0.6326,0.4932,0.3898,0.0184,0.4519,0.2872,0.004
23,2026-04-11,11,杭州,雨,0.8224,0.757,32.68,0.4748,64.317,10665.69,0.557742,0.65032,0.755015,0.874094,0.895612,0.920675,0.937875,0.946198,0.960446,1.0,0.98988,0.981136,0.979524,0.976478,0.951388,0.920739,0.924746,0.905966,0.866398,0.848056,0.82836,0.806553,0.782883,0.768691,0.754465,0.718302,0.726209,0.678828,0.664879,0.671381,0.644897,0.63754,0.60257,0.584225,0.593474,0.596557,0.594933,0.607408,0.524786,0.470681,0.38724,学习,500,0.8668,0.6739,0.5276,0.0247,0.6275,0.3956,0.004
24,2026-04-21,6,杭州,多云,0.5434,0.4615,20.43,0.0522,9.039,16009.6,0.619013,0.653322,0.726824,0.787995,0.795188,0.839208,0.843361,0.892589,0.900593,0.919548,0.933508,0.947966,0.982804,0.937318,0.950115,0.976884,0.989142,1.0,0.994583,0.976214,0.98714,0.981869,0.970105,0.983157,0.973674,0.956718,0.962112,0.935642,0.90926,0.899934,0.816872,0.807972,0.797123,0.800961,0.796562,0.771665,0.768561,0.758149,0.754991,0.697171,0.617978,学习,500,0.8473,0.6499,0.5161,0.0483,0.595,0.3335,0.004
25,2026-06-25,13,杭州,多云,0.3685,0.5882,23.73,0.0606,70.223,47516.65,0.657175,0.723267,0.784524,0.820072,0.861002,0.860592,0.904426,0.927684,0.935825,0.963123,0.980417,0.988548,0.982008,1.0,0.990831,0.971007,0.974255,0.976492,0.961972,0.907668,0.891754,0.903323,0.865144,0.855917,0.857667,0.856038,0.833571,0.805955,0.779415,0.749456,0.719083,0.732587,0.697093,0.697145,0.677134,0.674998,0.661853,0.631694,0.610165,0.569132,0.527701,学习,500,0.5933,0.4606,0.3624,0.0273,0.4314,0.2535,0.004
26,2026-04-19,17,杭州,阴,0.855,0.7378,23.4,0.1794,24.21,11745.67,0.587566,0.660087,0.76763,0.857391,0.863047,0.876257,0.900622,0.944314,0.967634,0.964743,0.984023,0.993825,0.992085,1.0,0.98769,0.94379,0.969604,0.921595,0.926346,0.892387,0.866025,0.829311,0.840814,0.810879,0.837575,0.832963,0.78297,0.778516,0.739578,0.715273,0.711398,0.680128,0.693069,0.653328,0.670474,0.653794,0.660085,0.637394,0.586172,0.527235,0.457856,休息,180,0.5218,0.4251,0.41,0.004,0.6703,0.353,0.004
27,2026-04-17,13,杭州,多云,0.2979,0.762,28.66,0.0314,65.178,48328.53,0.656824,0.711624,0.794038,0.833162,0.842794,0.87586,0.867165,0.899473,0.953457,0.961036,0.97298,0.961725,0.978297,1.0,0.984725,0.972845,0.959015,0.949238,0.916447,0.924426,0.911981,0.870766,0.871592,0.860414,0.855013,0.854041,0.813894,0.820774,0.79487,0.753102,0.699082,0.691747,0.701687,0.651232,0.672795,0.658545,0.673465,0.650166,0.628743,0.597023,0.576739,学习,500,0.5863,0.4557,0.3543,0.013,0.4155,0.2727,0.004
28,2026-06-26,12,杭州,多云,0.5146,0.5039,26.87,0.0535,71.968,41083.65,0.640234,0.715024,0.770085,0.805553,0.840051,0.868859,0.864308,0.903622,0.950178,0.958068,0.969368,0.992138,0.977183,0.978547,1.0,0.95898,0.943754,0.947435,0.932854,0.903091,0.878108,0.903187,0.869623,0.850404,0.862656,0.838723,0.820924,0.810068,0.762401,0.754004,0.745654,0.70708,0.68423,0.676179,0.672755,0.668964,0.660033,0.666967,0.595859,0.587871,0.533318,学习,500,0.6473,0.4953,0.3981,0.0243,0.4648,0.2804,0.004
29,2026-04-19,18,杭州,晴,0.1908,0.5207,26.07,0.0166,8.519,30745.83,0.525265,0.561837,0.583218,0.597572,0.596283,0.605061,0.637577,0.662279,0.645439,0.694091,0.71801,0.725298,0.769301,0.807346,0.810209,0.851753,0.864868,0.890797,0.931407,0.922789,0.941262,0.92738,0.981267,0.985516,0.989398,1.0,0.972872,0.983319,0.94177,0.908914,0.870373,0.841088,0.837146,0.823204,0.818451,0.799294,0.788772,0.761492,0.762911,0.698167,0.701661,学习,500,0.8333,0.6126,0.5113,0.1187,0.5495,0.1778,0.004
30,2026-04-11,7,杭州,晴,0.0963,0.6015,17.39,0.0076,22.208,52792.65,0.576078,0.607784,0.614973,0.617686,0.638255,0.648093,0.667761,0.697646,0.713973,0.729833,0.751643,0.766152,0.80664,0.826775,0.846729,0.845686,0.883654,0.925075,0.921749,0.938754,0.925384,0.958029,0.954416,0.972064,1.0,0.991964,0.965148,0.943982,0.91872,0.891294,0.84894,0.817243,0.817684,0.793197,0.807799,0.775176,0.776655,0.746834,0.730891,0.693148,0.670261,阅读,400,0.5482,0.4146,0.333,0.0385,0.3643,0.1719,0.004
31,2026-05-28,16,杭州,多云,0.5304,0.6017,22.51,0.0172,44.531,36518.45,0.659119,0.709832,0.743579,0.828006,0.844368,0.891398,0.872798,0.916687,0.967775,0.96851,0.981772,0.983968,0.991705,1.0,0.979921,0.999823,0.966557,0.981124,0.968039,0.94293,0.934597,0.914282,0.901525,0.906767,0.891372,0.899418,0.864805,0.867647,0.816772,0.794573,0.764527,0.766663,0.739793,0.725411,0.729304,0.689534,0.708207,0.725348,0.659463,0.616446,0.580133,学习,500,0.6809,0.5243,0.4172,0.0364,0.4819,0.2777,0.004
32,2026-06-19,10,杭州,晴,0.1679,0.5962,23.21,0.01,65.061,75072.33,0.669043,0.690377,0.747482,0.772177,0.779837,0.809118,0.838833,0.859719,0.86842,0.916877,0.933312,0.94594,0.966203,0.95668,0.998684,0.977212,1.0,0.977533,0.981429,0.995871,0.964911,0.966205,0.957352,0.954196,0.965547,0.939104,0.906095,0.891423,0.873351,0.834666,0.778271,0.758057,0.74242,0.735573,0.718033,0.715791,0.702615,0.704363,0.68491,0.655701,0.633617,学习,500,0.4519,0.321,0.2696,0.0546,0.2846,0.0716,0.004
33,2026-04-28,14,杭州,阴,0.7088,0.6629,28.41,0.1736,61.065,21681.45,0.565515,0.676058,0.761232,0.855225,0.872378,0.874767,0.902933,0.945656,0.978522,0.948052,0.988239,1.0,0.978275,0.980337,0.953699,0.94897,0.914112,0.887085,0.910922,0.863953,0.850038,0.819963,0.8064,0.812372,0.794398,0.79613,0.780711,0.75878,0.734187,0.72684,0.668106,0.662877,0.666576,0.661687,0.622128,0.63345,0.651655,0.635551,0.578326,0.518909,0.461974,学习,500,0.7832,0.6084,0.4811,0.025,0.5667,0.3593,0.004
34,2026-05-26,9,杭州,晴,0.0297,0.6009,29.36,0.008,55.617,78655.06,0.678699,0.700258,0.739708,0.754328,0.769521,0.786487,0.805403,0.848378,0.84506,0.902432,0.909307,0.93227,0.926692,0.944505,0.966299,0.975954,0.98751,1.0,0.973414,0.991321,0.971955,0.962872,0.95116,0.972139,0.944396,0.963747,0.927878,0.918326,0.885305,0.859576,0.809817,0.775944,0.760482,0.767836,0.753605,0.735056,0.723609,0.697433,0.697701,0.660575,0.666059,休息,180,0.0637,0.0521,0.0818,0.004,0.2162,0.0357,0.004
35,2026-04-15,18,杭州,晴,0.1404,0.4411,22.26,0.0197,7.447,29667.87,0.537541,0.558532,0.563959,0.580464,0.567031,0.591361,0.614323,0.634395,0.645613,0.694493,0.711169,0.724753,0.755515,0.770977,0.804435,0.838287,0.884246,0.891212,0.924926,0.927453,0.945597,0.953843,0.981661,0.986818,0.990291,0.996718,1.0,0.977784,0.969274,0.926882,0.920127,0.850702,0.853586,0.831122,0.828654,0.822114,0.780416,0.787196,0.777806,0.72807,0.709375,学习,500,0.8459,0.6199,0.5198,0.1256,0.5582,0.1721,0.004
36,2026-04-02,17,杭州,阴,0.7374,0.7536,23.13,0.0254,19.789,11969.47,0.585087,0.675076,0.779696,0.838309,0.893485,0.879428,0.915594,0.978855,0.988323,0.988111,0.982044,0.99166,1.0,0.996162,0.988494,0.981161,0.967846,0.936882,0.934182,0.936809,0.886241,0.888324,0.868712,0.874041,0.858193,0.873262,0.843372,0.79669,0.800472,0.752859,0.730112,0.722412,0.697354,0.709575,0.681055,0.679413,0.674548,0.670696,0.636746,0.57117,0.526928,阅读,400,0.7721,0.6139,0.505,0.004,0.6691,0.4265,0.004
37,2026-04-15,14,杭州,晴,0.1526,0.5094,25.36,0.0137,59.108,77744.58,0.680934,0.705372,0.757075,0.762739,0.809834,0.791014,0.824702,0.845633,0.90446,0.919959,0.929442,0.928915,0.959217,0.95906,0.996695,0.999894,1.0,0.97808,0.990564,0.99875,0.99217,0.982682,0.95404,0.974694,0.979759,0.94351,0.943437,0.92252,0.885594,0.833112,0.811813,0.783284,0.768264,0.755267,0.74894,0.742727,0.734478,0.712533,0.690554,0.674871,0.634008,休息,180,0.0483,0.035,0.0858,0.004,0.2248,0.0218,0.004
38,2026-06-26,12,杭州,阴,0.8624,0.8796,27.61,0.0403,71.968,17670.75,0.581681,0.665775,0.774605,0.869861,0.886195,0.897686,0.896848,0.96304,0.988823,0.993057,0.977331,0.999699,0.997931,1.0,0.954535,0.950574,0.948741,0.920666,0.883419,0.883415,0.864429,0.839179,0.826998,0.808734,0.821904,0.773927,0.760834,0.747892,0.735444,0.675137,0.652981,0.622661,0.638852,0.614729,0.620877,0.63279,0.611317,0.620521,0.559389,0.518575,0.459901,阅读,400,0.7167,0.5701,0.4795,0.004,0.6465,0.4014,0.004
39,2026-06-14,6,杭州,阴,0.6888,0.762,13.29,0.08,17.251,12406.67,0.599991,0.675648,0.758699,0.836535,0.868842,0.874424,0.90798,0.942761,0.943619,0.957667,0.958986,0.96539,0.955562,0.989281,1.0,0.98804,0.936423,0.957557,0.952915,0.910265,0.901604,0.85859,0.880978,0.855498,0.865426,0.829931,0.843973,0.830586,0.780973,0.749292,0.709486,0.715364,0.697506,0.67638,0.699768,0.683221,0.670035,0.672009,0.63769,0.573177,0.504052,休息,180,0.5089,0.4229,0.3971,0.004,0.6527,0.3428,0.004
40,2026-05-18,18,杭州,晴,0.1679,0.6099,22.05,0.0181,14.692,41662.74,0.567833,0.554483,0.615117,0.58548,0.613695,0.638845,0.646721,0.663448,0.693134,0.737238,0.72924,0.783183,0.795126,0.808388,0.83983,0.860453,0.903519,0.923315,0.914467,0.937483,0.938465,0.968202,0.954709,1.0,0.993378,0.982833,0.97925,0.960086,0.927642,0.906087,0.855864,0.81687,0.817471,0.793204,0.795096,0.781563,0.766851,0.779421,0.735605,0.713582,0.669074,办公,450,0.7283,0.5303,0.4373,0.0918,0.4674,0.1599,0.004
41,2026-06-07,12,杭州,阴,0.7616,0.8659,25.46,0.1171,71.75,20226.66,0.572693,0.667937,0.758082,0.839352,0.87798,0.896347,0.917436,0.938093,0.973955,0.972334,0.977259,0.982941,1.0,0.951199,0.96906,0.92004,0.932953,0.933242,0.898268,0.872164,0.840982,0.8308,0.813147,0.794806,0.790131,0.782915,0.752541,0.730775,0.698684,0.69607,0.673444,0.649464,0.646281,0.627066,0.627039,0.622869,0.614589,0.605294,0.591014,0.502671,0.446277,阅读,400,0.6925,0.5544,0.4654,0.004,0.6322,0.3919,0.004
42,2026-05-20,7,杭州,晴,0.2173,0.2855,20.9,0.0091,30.114,61551.01,0.604779,0.666276,0.680071,0.692358,0.715896,0.711968,0.734894,0.759708,0.800392,0.82173,0.837363,0.849046,0.87899,0.89686,0.902919,0.919913,0.958184,0.937969,0.975774,0.97004,0.986875,0.96836,0.987473,0.985674,0.996214,1.0,0.976314,0.972848,0.924398,0.903998,0.875975,0.846088,0.843618,0.806762,0.79207,0.784039,0.785569,0.765726,0.734639,0.694982,0.688767,阅读,400,0.4429,0.3257,0.2773,0.0457,0.3,0.1077,0.004
43,2026-05-21,7,杭州,晴,0.1644,0.3245,16.7,0.0161,30.246,56897.92,0.612784,0.635523,0.656082,0.70656,0.697791,0.709845,0.72756,0.760506,0.799785,0.812113,0.838686,0.851814,0.871003,0.880658,0.894969,0.931885,0.952675,0.953146,0.974897,0.978084,0.953897,0.967945,0.989171,0.999108,0.98896,1.0,0.998083,0.97655,0.939951,0.901538,0.864601,0.848312,0.82944,0.825397,0.812087,0.80702,0.783543,0.772578,0.747884,0.705264,0.669873,休息,180,0.1329,0.1043,0.0933,0.004,0.1468,0.0531,0.004
44,2026-05-11,16,杭州,晴,0.1444,0.2916,25.65,0.0154,42.494,78800.46,0.631267,0.66435,0.701171,0.722829,0.731531,0.747885,0.76703,0.802652,0.823035,0.848104,0.867787,0.887209,0.910545,0.925472,0.936518,0.942789,0.964236,0.972549,0.97853,0.995874,0.962466,0.968748,0.978668,0.975321,1.0,0.967749,0.961939,0.930499,0.90686,0.878467,0.849759,0.817611,0.811463,0.78991,0.779877,0.798681,0.760458,0.732205,0.708529,0.682339,0.677686,学习,500,0.483,0.3359,0.2807,0.1021,0.2542,0.004,0.004
45,2026-05-17,12,杭州,晴,0.1458,0.3204,27.49,0.0187,70.479,90991.92,0.695049,0.720343,0.767266,0.777537,0.79003,0.800354,0.851519,0.879973,0.90826,0.935441,0.967696,0.937676,0.960259,0.972759,0.9799,0.985036,0.997482,0.989365,1.0,0.98612,0.976226,0.965967,0.963539,0.953877,0.975211,0.946554,0.909145,0.89453,0.857322,0.839489,0.803314,0.773111,0.782213,0.759934,0.75464,0.727969,0.713718,0.708724,0.688429,0.646965,0.642408,阅读,400,0.1502,0.1089,0.1179,0.004,0.163,0.027,0.004
